,routers,interfaces,loopbacks
3,R1,interface loopback 1,192.168.1.1
4,R1,interface loopback 2,192.168.1.2
5,R1,interface loopback 3,192.168.1.3
6,R2,interface loopback 1,192.168.2.1
7,R2,interface loopback 2,192.168.2.2
8,R2,interface loopback 3,192.168.2.3
9,R3,interface loopback 1,192.168.3.1
10,R3,interface loopback 2,192.168.3.2
11,R3,interface loopback 3,192.168.3.3
12,R4,interface loopback 1,192.168.4.1
13,R4,interface loopback 2,192.168.4.2
14,R4,interface loopback 3,192.168.4.3
15,R5,interface loopback 1,192.168.5.1
16,R5,interface loopback 2,192.168.5.2
17,R5,interface loopback 3,192.168.5.3
18,R6,interface loopback 1,192.168.6.1
19,R6,interface loopback 2,192.168.6.2
20,R6,interface loopback 3,192.168.6.3
21,R7,interface loopback 1,192.168.7.1
22,R7,interface loopback 2,192.168.7.2
23,R7,interface loopback 3,192.168.7.3
